extension,count,total_size_bytes,total_size_MB
.py,42,645339,0.645
.ipynb,0,0,0.000
.sh,0,0,0.000
.yaml,0,0,0.000
.yml,0,0,0.000
.json,191,105690958,105.691
.toml,0,0,0.000
.ini,0,0,0.000
.cfg,0,0,0.000
.csv,33,46125962,46.126
.tsv,0,0,0.000
.md,111,547070,0.547
.txt,2,5113,0.005
.tex,0,0,0.000
.pt,0,0,0.000
.pth,0,0,0.000
.ckpt,0,0,0.000
.npy,0,0,0.000
.npz,1797,503068237,503.068
.h5,0,0,0.000
.hdf5,0,0,0.000
.pkl,0,0,0.000
.joblib,0,0,0.000
.parquet,0,0,0.000
.pdf,16,689747,0.690
.docx,0,0,0.000
.pptx,0,0,0.000
.xlsx,0,0,0.000
.png,18,2667299,2.667
.jpg,0,0,0.000
.jpeg,0,0,0.000
.svg,16,843411,0.843
.tiff,16,18478882,18.479
.jsonl,3,9999516,10.000
.mjs,1,1200,0.001
.pyc,42,853185,0.853
[none],2,1138,0.001
